question_id,domain,question,options_json,answer,explanation,concept
34,cicd,バンドルを prod ターゲットへ配置する、正しい Databricks CLI コマンドはどれか。,"[""databricks bundle deploy -t prod"",""databricks deploy bundle prod"",""databricks bundle push prod"",""databricks bundle release --env prod"",""databricks jobs deploy --prod""]",0,databricks bundle deploy -t/--target prod が正しい。push / release / deploy bundle / jobs deploy のような語順・サブコマンドは誤り。,配置コマンドは databricks bundle deploy で、対象環境は -t（--target）フラグで指定する（例：-t prod）。ターゲットは databricks.yml の targets に定義しておく。push / release といったサブコマンドは存在しない。
35,monitoring,Liquid Clustering に関する説明として、誤っているものはどれか。,"[""CLUSTER BY (col) で有効化し、パーティショニング＋ZORDER を置き換える"",""クラスタリングキーは後から変更でき、既存データの全書き換えは不要"",""OPTIMIZE を実行するとクラスタリングが適用・維持される"",""PARTITIONED BY と同じ列で必ず併用しなければならない"",""高カーディナリティ列やアクセスパターンが変化するケースに向く""]",3,Liquid Clustering はパーティショニングを置き換えるもので、PARTITIONED BY との必須併用はない（むしろ併用しない）。他の記述は正しい。,Liquid Clustering は Delta のデータレイアウト最適化機能で、CLUSTER BY (cols) で指定する。従来のパーティショニング＋ZORDER を置き換え、クラスタリングキーを後から変更しても既存データの全書き換えが不要（柔軟）。OPTIMIZE でクラスタリングが適用・維持される。CLUSTER BY AUTO で自動選択も可能。PARTITIONED BY との併用は不要。
36,monitoring,あるステージで、大半のタスクは数秒で終わるが1タスクだけ10分かかり、そのタスクの入力レコード数だけ突出している。最も可能性が高い原因と対策はどれか。,"[""データスキュー。ソルティングやスキュー結合の最適化、AQE 有効化で緩和する"",""ドライバ不足。ドライバを大型化すれば必ず解決する"",""ネットワーク遅延。リトライすれば解決する"",""ディスク不足。VACUUM を実行すれば解決する"",""乱数シードの問題。シードを固定すれば解決する""]",0,特定タスクだけ入力・実行時間が突出＝データスキュー。ソルティング、スキュー対応結合、AQEのスキュー結合最適化で緩和する。ドライバ大型化やVACUUM等は無関係。,データスキュー＝特定キーにデータが偏り、担当パーティション（＝1タスク）だけが極端に重くなる現象。Spark UI ではステージ内のタスク時間・入力サイズのばらつきで診断する。対策は AQE（適応的クエリ実行）のスキュー結合最適化、ソルティング（キーに乱数を付加して分散）、broadcast 化など。
37,monitoring,Spark UI で shuffle spill（memory/disk）が大量に発生している。緩和策として最も効果が薄いものはどれか。,"[""spark.sql.shuffle.partitions を増やして1タスクのデータ量を減らす"",""不要な列を早めに drop してシャッフルデータ量を減らす"",""executor のメモリを増やす"",""AQE を有効化してパーティションを最適化する"",""クラスターの auto-termination（自動終了）を無効化する""]",4,spill 対策はパーティション調整・データ量削減・メモリ増強・AQE。auto-termination の無効化はコストが増えるだけで spill 緩和とは無関係。,spill（スピル）＝シャッフルや集計の中間データが executor のメモリに収まらず、ディスクへ退避される現象で、性能低下の兆候。対策は1タスクあたりのデータ量を減らす（パーティション数調整、不要列の早期削除、フィルタの前倒し）、メモリ増強、AQE による最適化など。auto-termination はアイドル時にクラスタを止める課金対策で、spill とは無関係。
38,monitoring,あるジョブの実行時間が『先週まで約5分、今週は約30分』に悪化した。原因調査の第一歩として最も適切なのはどれか。,"[""Lakeflow Jobs の run history で過去実行と比較し、遅くなったタスク/時期を特定する"",""まずクラスターを2倍のサイズにする"",""ジョブを削除して作り直す"",""Git のコミットログだけを確認する"",""全タスクのコードをゼロから書き直す""]",0,まず run history で過去と比較し、どのタスクがいつから遅くなったかを切り分けるのが定石。増強や作り直しは原因特定前の過剰対応。,Lakeflow Jobs の run history（実行履歴）ビューは、過去の実行時間・成否・各タスクの所要時間を一覧・比較できる。まずここで「いつから・どのタスクが」遅くなったかを特定（ベースライン比較）し、必要に応じて Spark UI でボトルネックを深掘りするのがトラブルシュートの定石。原因特定前の増強や作り直しは非効率。
39,monitoring,Predictive Optimization を有効化した。期待できる挙動として正しいものはどれか。,"[""UC管理テーブルに対し、Databricks が必要に応じて OPTIMIZE / VACUUM 等を自動実行する"",""すべてのクエリが必ず2倍速になる"",""クラスターのVM料金が無料になる"",""Auto Loader が不要になる"",""すべてのテーブルが自動的に外部テーブルになる""]",0,Predictive Optimization は UC管理テーブルのメンテナンス（OPTIMIZE/VACUUM 等）を自動判断・自動実行する。クエリが必ず倍速、料金無料、取り込み不要などは誤り。,Predictive Optimization（予測的最適化）は、Unity Catalog 管理テーブルに対し、どのテーブルにいつ OPTIMIZE（ファイルのコンパクション）や VACUUM（不要ファイル削除）等のメンテナンスを行うべきかを Databricks が学習・自動実行する機能。手動のメンテナンス運用を不要にする。OPTIMIZE は小ファイルをまとめてクエリを速くし、VACUUM は古い未参照ファイルを削除してストレージを節約する。
40,monitoring,executor の out-of-memory（OOM）が頻発している。原因として最も関係が薄いものはどれか。,"[""巨大パーティション（スキュー）で1タスクのデータが過大"",""collect() で大量データをドライバ側に集約している"",""過大な broadcast で各 executor のメモリを圧迫している"",""UDF 内で巨大なオブジェクトを大量生成している"",""テーブル名にマルチバイト文字を使っている""]",4,OOM はデータ量過多・collect・過大 broadcast・UDF のメモリ大量消費などが原因。テーブル名の文字種はメモリ使用と無関係。,OOM（メモリ不足）の主因：スキューによる巨大パーティション、collect()/toPandas() で大量データをドライバに集約、閾値超えの broadcast による executor メモリ圧迫、UDF 内での大量オブジェクト生成など。なお collect 系はドライバ OOM、シャッフル/broadcast は executor OOM を招きやすい点も区別する。テーブル名の文字種はメモリ使用量に無関係。
41,governance,analysts グループに、スキーマ sales_data の読み取り専用アクセスを付与したい（USE CATALOG / USE SCHEMA は付与済み）。正しいSQLはどれか。,"[""GRANT ALL PRIVILEGES ON SCHEMA sales_data TO analysts;"",""GRANT SELECT ON SCHEMA sales_data TO analysts;"",""GRANT INSERT ON SCHEMA sales_data TO analysts;"",""GRANT USAGE ON SCHEMA sales_data TO analysts;"",""GRANT READ ON SCHEMA sales_data TO analysts;""]",1,スキーマ配下の読み取りは GRANT SELECT ON SCHEMA。ALL PRIVILEGES は過剰、INSERT は書き込み、USAGE は使用権のみで読み取りにならず、READ という権限名は無い。,Unity Catalog の権限はメタストア→カタログ→スキーマ→テーブルの階層で、上位に USE CATALOG / USE SCHEMA（＝旧 USAGE、その階層を「使える」権限）が必要。実データの読み取りは SELECT。スキーマに SELECT を付与すると配下テーブルに継承される。最小権限の原則に沿い、ALL PRIVILEGES の乱用は避ける。READ という権限名は存在しない。
42,governance,email 列を、pii_reader グループ以外にはマスク表示したい。Unity Catalog での正しい適用手順はどれか。,"[""マスク用の SQL UDF を作成し、ALTER TABLE t ALTER COLUMN email SET MASK mask_func で適用する"",""CREATE MASK ON t.email FOR pii_reader"",""ALTER TABLE t ALTER COLUMN email ENCRYPT"",""GRANT MASK ON t.email TO pii_reader"",""動的ビューを作り、元テーブルは全員から REVOKE する""]",0,列マスクは SQL UDF（マスク関数）を作り、ALTER TABLE ... ALTER COLUMN ... SET MASK <func> で適用する。CREATE MASK / ENCRYPT / GRANT MASK のような構文は無く、動的ビューは旧来の代替手段で最適ではない。,列マスク（column mask）は、列の値を閲覧者に応じて隠す機能。手順は (1) マスク処理を書いた SQL UDF を作成（例：is_account_group_member('pii_reader') で分岐）、(2) ALTER TABLE ... ALTER COLUMN <col> SET MASK <func> で列に適用。行の可視性を制御する「行フィルタ」と対をなす。CREATE MASK 等の専用DDLは無い。
43,governance,外部テーブル ext_t（LOCATION 指定）とマネージドテーブル mng_t がある。それぞれ DROP TABLE したときの挙動として正しいものはどれか。,"[""ext_t はメタデータのみ削除しデータは残る / mng_t はメタデータとデータの両方を削除"",""両方ともデータも削除される"",""両方ともメタデータのみ削除される"",""ext_t は両方削除 / mng_t はメタデータのみ削除"",""どちらも DROP できない""]",0,外部テーブルは DROP でメタデータのみ削除され、データは外部ロケーションに残る。マネージドテーブルは DROP でデータも削除される。,マネージドテーブル＝データもメタデータもUCが管理し、DROP するとデータファイルも削除される。外部テーブル＝LOCATION で指定した外部の場所のデータを参照するだけで、DROP してもメタデータのみ削除されデータは残る。既存データを他システムと共有する場合は外部テーブル、UCに委ねる場合はマネージドテーブルを選ぶ。
44,governance,全社の数百テーブルで『pii タグの付いた列は既定でマスクし、解除は限定グループのみ』を、最小の運用負荷で一元管理したい。最適なアプローチはどれか。,"[""Unity Catalog の ABAC ポリシーを定義し、タグ条件で列マスク/行フィルタを横断適用する"",""テーブルごとにマスクUDFを手作業で SET MASK する"",""テーブルごとに動的ビューを作成する"",""全ユーザーから SELECT を REVOKE する"",""列を物理的に暗号化して保存する""]",0,タグ＋ABACポリシーで多数オブジェクトへ横断的にマスク/行フィルタを一元適用でき、運用が最小。個別 SET MASK やビュー量産は規模的に破綻し、物理暗号化は条件付き表示の要件に合わない。,ABAC（属性ベースのアクセス制御）は、オブジェクトに付与したタグ（属性）とポリシーを組み合わせ、多数のテーブル/列へ横断的に行フィルタ・列マスクを一元適用する仕組み。「pii タグの列は自動でマスク」のようなルールを一度定義すれば全社に効く。個別 GRANT や個別マスク、動的ビューの量産は規模が大きいと運用が破綻する。
45,governance,同一テーブルで、営業担当が自分の region の行だけを閲覧できるようにしたい。Unity Catalog での実現方法はどれか。,"[""行フィルタ用の SQL UDF を作り、ALTER TABLE t SET ROW FILTER filter_func ON (region) で適用する"",""各クエリに WHERE region = ... を手で書かせる運用にする"",""region ごとにテーブルを物理分割し、個別に GRANT する"",""region 列に列マスクを適用する"",""GRANT SELECT ON ROW ... という専用構文を使う""]",0,行レベルセキュリティは、行フィルタ UDF を作り ALTER TABLE ... SET ROW FILTER ... ON (col) で適用する。列マスクは列の値を隠す機能で行制御ではない。手書きWHEREや物理分割は運用が破綻し、GRANT SELECT ON ROW のような構文は存在しない。,行フィルタ（row filter＝行レベルセキュリティ）は、閲覧者に応じて見える「行」を制限する機能。手順は (1) 真偽を返す SQL UDF を作成（例：所属 region と行の region を比較）、(2) ALTER TABLE ... SET ROW FILTER <func> ON (<col>) で適用。列の値を隠す「列マスク」と対で、両方 UDF ベースで UC が一元管理する。
